pressure,reactor temperature,pre-reactor temperature,humidity,outlet temperature,label,number data
0.38,797,650,94.4,24.7,0.0,396
0.38,796,650,94.4,24.7,0.0,397
0.38,800,650,94.4,24.7,0.0,398
0.38,804,650,94.4,24.7,0.0,399
0.38,802,650,94.4,24.7,0.0,400
0.38,797,650,94.4,24.7,0.0,401
0.38,796,650,94.4,24.7,0.0,402
0.38,802,650,94.4,24.7,0.0,403
0.38,804,650,94.4,24.7,0.0,404
0.38,801,650,94.4,24.7,0.0,405
0.38,796,650,94.4,24.7,0.0,406
0.38,798,650,94.4,24.7,0.0,407
0.38,803,651,94.4,24.7,0.0,408
0.38,803,649,94.4,24.7,0.0,409
0.38,799,650,94.4,24.7,0.0,410
0.38,796,649,94.4,24.7,0.0,411
0.38,800,650,94.4,24.7,0.0,412
0.38,804,649,94.4,24.7,0.0,413
0.38,803,650,94.4,24.7,0.0,414
0.38,798,650,94.4,24.7,0.0,415
0.38,796,650,94.4,24.7,0.0,416
0.38,801,651,94.4,24.7,0.0,417
0.38,804,649,94.4,24.7,0.0,418
0.38,802,650,94.4,24.7,0.0,419
0.38,796,650,94.4,24.7,0.0,420
0.38,797,650,94.4,24.7,0.0,421
0.38,802,650,94.3,24.7,0.0,422
0.38,804,650,94.3,24.7,0.0,423
0.38,800,650,94.4,24.7,0.0,424
0.38,796,650,94.4,24.6,0.0,425
0.38,798,650,94.4,24.6,0.0,426
0.38,804,650,94.4,24.6,0.0,427
0.39,803,650,94.4,24.6,0.0,428
0.38,798,650,94.4,24.6,0.0,429
0.39,796,650,94.4,24.7,0.0,430
0.38,799,650,94.3,24.6,0.0,431
0.39,804,650,94.4,24.6,0.0,432
0.39,802,650,94.3,24.6,0.0,433
0.38,799,650,94.2,24.7,0.0,434
0.38,804,650,94.2,24.6,0.0,435
0.39,803,650,94.2,24.6,0.0,436
0.38,798,650,94.2,24.6,0.0,437
0.38,796,650,94.2,24.6,0.0,438
0.39,800,650,94.2,24.6,0.0,439
0.38,804,650,94.2,24.6,0.0,440
0.39,802,650,94.2,24.6,0.0,441
0.38,796,650,94.2,24.6,0.0,442
0.39,797,650,94.2,24.6,0.0,443
0.38,802,650,94.3,24.5,0.0,444
0.38,804,650,94.3,24.5,0.0,445
0.39,800,650,94.3,24.5,0.0,446
0.39,796,650,94.3,24.5,0.0,447
0.38,797,650,94.3,24.5,0.0,448
0.38,803,650,94.3,24.5,0.0,449
0.38,803,650,94.3,24.5,0.0,450
0.38,798,650,94.3,24.5,0.0,451
0.38,796,650,94.3,24.5,0.0,452
0.38,799,650,94.4,24.5,0.0,453
0.38,804,650,94.4,24.5,0.0,454
0.38,802,650,94.4,24.4,0.0,455
0.39,798,650,94.4,24.4,0.0,456
